ball_t_ms,pointer,middle,thumb,pitcher,t_rel_ms
1152415.347,0.7898230088495575,1.3046373951652688,2.4991308666501117,P1,417.32400000002235
1152417.432,0.8192771084337349,1.3046373951652688,2.424422933730454,P1,419.4089999999851
1152419.507,0.730958230958231,1.3046373951652688,2.5365126676602086,P1,421.48399999993853
1152421.583,0.8782287822878229,1.1761951700344997,2.5365126676602086,P1,423.5600000000559
1152423.664,0.7603833865814696,1.208281981759921,2.9113545816733066,P1,425.64100000006147
1152425.749,0.7898230088495575,1.0159980310115677,3.024171442810865,P1,427.7260000000242
1152427.833,0.6134020618556701,0.9200688637481554,3.2503119540803596,P1,429.8100000000559
1152429.911,0.730958230958231,1.0800295493720757,3.13715710723192,P1,431.8880000000354
1152435.47,0.6134020618556701,0.7923832923832924,3.061814556331007,P1,437.44699999992736
1152440.4,0.6134020618556701,0.984005905511811,3.2503119540803596,P1,442.37699999986216
1152442.487,0.40823327615780447,0.9200688637481554,3.4014489133150136,P1,444.4639999999199
1152444.57,0.34974283614988977,0.9200688637481554,3.43928035982009,P1,446.5470000000205
1152446.647,0.5547105004906772,0.8881239242685026,3.970912738214644,P1,448.6240000000689
1152448.731,0.49607650809220205,0.9200688637481554,3.8947368421052633,P1,450.70799999986775
1152450.813,0.5840490797546012,1.0159980310115677,3.8947368421052633,P1,452.79000000003725
1152452.891,0.5840490797546012,0.7605011053795137,4.161687170474517,P1,454.86800000001676
1152454.982,0.34974283614988977,0.7923832923832924,4.199899547965846,P1,456.95900000003166
1152457.061,0.7898230088495575,1.0159980310115677,4.7753970254600455,P1,459.03799999994226
1152459.147,0.6134020618556701,0.6967836975202554,4.62150591790481,P1,461.1240000000689
1152461.228,0.37898089171974525,0.9200688637481554,4.62150591790481,P1,463.2049999998417
1152461.289,0.4375,0.7923832923832924,4.62150591790481,P1,463.26600000006147
1152463.365,0.5547105004906772,0.5377636096125552,4.813918305597579,P1,465.341999999946
1152469.155,0.5840490797546012,0.7605011053795137,4.891019172552976,P1,471.13199999998324
1152471.235,0.6134020618556701,0.9200688637481554,5.08411214953271,P1,473.21200000005774
1152473.317,0.8487456960157402,0.8561946902654868,6.2922606924643585,P1,475.2939999999944
1152475.404,1.0850172498767865,1.1761951700344997,6.686064318529862,P1,477.38100000005215
1152477.488,0.9372384937238494,1.0800295493720757,6.7255552718917535,P1,479.464999999851
1152479.574,1.0258620689655173,1.1441241685144123,6.804597701149425,P1,481.55099999997765
1152482.922,0.9667651403249631,1.2725030826140566,7.799485861182519,P1,484.8989999999758
1152485.003,1.0850172498767865,1.208281981759921,7.959855892949048,P1,486.9799999999814
1152488.856,1.262833168805528,1.208281981759921,7.919732441471572,P1,490.83299999986775
1152490.944,1.4709517923362176,1.208281981759921,8.442953020134228,P1,492.9209999998566
1152493.026,2.0394932935916543,1.208281981759921,9.5,P1,495.0030000000261
1152495.112,2.0394932935916543,1.208281981759921,9.336448598130842,P1,497.0889999999199
1152495.202,1.9793942403177756,1.3367875647668395,9.336448598130842,P1,497.1790000000037
1152497.282,2.1297539149888145,1.3367875647668395,9.336448598130842,P1,499.2589999998454
1152500.96,2.5527562983287604,1.4977766798418972,9.663891779396462,P1,502.93699999991804
1152503.045,2.856714178544636,1.53002223869533,10.364253984844526,P1,505.0219999998808
1152505.13,2.9481981981981984,1.6591639871382637,10.820754716981131,P1,507.10699999984354
1152505.21,3.039819684447784,1.9182156133828996,10.571428571428571,P1,507.18699999991804
1152507.292,3.4384422110552766,2.1457298907646476,10.945712037765539,P1,509.2689999998547
1152509.377,4.0257510729613735,2.178296498634219,10.904037755637127,P1,511.3540000000503
1152511.458,4.524714828897339,2.3087248322147653,11.196217494089835,P1,513.4350000000559
1152513.539,5.059317718940937,2.2760934393638173,11.783812285789612,P1,515.5160000000615
1152513.621,5.3125,2.3413724515166585,12.121532364597094,P1,515.5979999999981
1152515.701,5.790012804097311,2.4721254355400695,12.588235294117647,P1,517.6779999998398
1152517.785,6.6912561258705185,2.4394127892510573,13.10047846889952,P1,519.7619999998715
1152519.867,7.212121212121212,2.4394127892510573,13.529850746268657,P1,521.844000000041
1152521.949,7.704368174726989,2.504854368932039,13.702241195304163,P1,523.9259999999776
1152524.036,9.7803911205074,2.898876404494382,15.578947368421053,P1,526.0130000000354
1152526.119,10.878731343283581,2.997751124437781,16.33297180043384,P1,528.0959999999031
1152529.15,10.567934060090401,3.0307423144213947,16.154929577464788,P1,531.1269999998622
1152531.236,10.464665249734326,2.964776417686735,15.977272727272727,P1,533.2129999999888
1152533.325,11.504820567755758,3.29526671675432,16.28842504743833,P1,535.3019999999087
1152535.41,13.13259219088937,3.527596588058204,16.600760456273765,P1,537.3869999998715
1152537.496,13.925531914893616,3.560853199498118,16.73498233215548,P1,539.4729999999981
1152539.579,14.508219178082191,3.7941176470588234,18.362887729892947,P1,541.5559999998659
1152541.669,16.174757281553397,4.095238095238095,19.41988950276243,P1,543.6459999999497
1152543.749,16.32490974729242,4.633948899569947,20.58414464534075,P1,545.7260000000242
1152545.826,17.768172888015716,4.667763157894737,20.9601338165598,P1,547.8029999998398
1152547.909,19.991728465487736,5.518716577540107,21.90748528174937,P1,549.8859999999404
1152549.991,20.23,5.279359430604982,21.43248532289628,P1,551.9679999998771
1152552.076,21.150992234685074,5.587261146496815,22.72112676056338,P1,554.0529999998398
1152554.159,23.030020402215097,5.896578140960163,23.397058823529413,P1,556.1359999999404
1152559.253,24.198648251542757,6.103580562659847,23.397058823529413,P1,561.2299999999814
1152561.334,25.944973230220107,6.7284172661870505,24.1272365805169,P1,563.310999999987
1152563.415,28.444780635400907,7.218411552346571,26.00516795865633,P1,565.3919999999925
1152565.501,28.802547770700638,7.288699690402477,26.305435720448664,P1,567.4779999998864
1152567.581,28.712943316156412,7.14819587628866,25.955223880597014,P1,569.5579999999609
1152569.664,27.955669481302774,7.323870967741936,24.912981455064195,P1,571.6410000000615
1152571.751,27.25,7.007981462409886,24.470119521912352,P1,573.7279999998864
1152573.832,27.33783783783784,7.605896043444531,24.078364565587734,P1,575.808999999892
1152575.914,25.772727272727273,7.5,23.058425063505503,P1,577.8910000000615
1152577.999,24.66303066037736,7.183294663573085,22.193765796124683,P1,579.9760000000242
1152580.076,25.343898104265403,7.25354655661594,21.859865470852018,P1,582.0529999998398
1152582.163,23.988556338028168,6.798200514138817,20.35,P1,584.1399999998976
1152584.252,22.988636363636363,6.3458877786318215,18.820809248554912,P1,586.2290000000503
1152586.331,22.165990730011586,6.2073201945226515,17.635419513528287,P1,588.3079999999609
1152588.411,20.869402985074625,6.2765685019206146,16.959172563962984,P1,590.3880000000354
1152590.498,19.635846372688476,5.965508431272355,15.844282238442823,P1,592.4749999998603
1152592.579,18.57905138339921,5.655875605404027,15.402534375842546,P1,594.5559999998659
1152594.661,17.5765134529148,5.4844704684317716,14.74436090225564,P1,596.6380000000354
1152596.742,15.6146408839779,4.904942965779468,13.057666755248471,P1,598.719000000041
1152598.828,13.636091453456723,4.330388692579505,11.363660268209308,P1,600.8049999999348
1152600.914,11.71486051502146,3.8275081719889363,9.951524628616106,P1,602.8910000000615
1152600.928,9.916666666666666,3.3615635179153096,8.645127940036184,P1,602.9050000000279
1152603.009,8.10093896713615,2.8330421761916647,7.161290322580645,P1,604.9860000000335
1152605.089,6.303419902288506,2.243478260869565,5.66632860040568,P1,607.0659999998752
1152610.167,4.6187214611872145,1.6268545994065282,4.199899547965846,P1,612.1439999998547
1152612.243,2.9481981981981984,1.0480059084194977,2.6862257583291895,P1,614.2199999999721
1152614.326,2.91768826619965,1.0800295493720757,2.7237005719970155,P1,616.3029999998398
1152616.41,2.887193596798399,1.0800295493720757,2.7611940298507465,P1,618.3869999998715
1152618.493,2.856714178544636,1.1441241685144123,2.7611940298507465,P1,620.4699999999721
1152620.57,2.7958010497375656,1.208281981759921,2.6862257583291895,P1,622.5470000000205
1152622.654,2.6741573033707864,1.2725030826140566,2.6487695749440716,P1,624.6310000000522
1152624.737,2.6134265036186672,1.3367875647668395,2.7611940298507465,P1,626.7139999999199
1152628.082,2.099652087475149,1.4333333333333333,2.237977193852256,P1,630.058999999892
1152628.169,1.9793942403177756,1.4655470486539885,1.9406234537357743,P1,630.1459999999497
1152630.247,1.9493670886075949,1.4977766798418972,1.8664688427299703,P1,632.2239999999292
1152630.3,1.9493670886075949,1.5622837370242215,1.4967932905772077,P1,632.2770000000019
1152632.386,2.009436304941644,1.5622837370242215,0.4713375796178344,P1,634.3629999998957
1152634.474,2.220149253731343,1.6914893617021276,0.10850439882697947,P1,636.4509999998845
1152636.557,2.5224438902743143,1.8209509658246656,0.07231859271927682,P1,638.5339999999851
1152638.635,2.9481981981981984,1.8209509658246656,0.07231859271927682,P1,640.6119999999646
1152640.725,6.1425269645608624,2.2108792846497765,0.07231859271927682,P1,642.7020000000484
1152642.811,7.114130434782608,0.4742647058823529,0.14470789538010267,P1,644.7879999999423
